hospital,state,beds_nonicu,util_nonicu,beds_icu,util_icu,vent,util_vent
Hospital Sultanah Aminah,Johor,1156,88.84083045,30,83.33333333333334,75,45.33333333333333
Hospital Sultan Ismail Johor Bahru,Johor,692,0,32,56.25,59,32.20338983050847
Hospital Enche' Besar Hajjah Khalsom,Johor,373,89.27613941018767,9,0,45,0
Hospital Mersing,Johor,85,47.05882352941176,0,,0,
Hospital Pakar Sultanah Fatimah,Johor,544,0,16,68.75,39,17.94871794871795
Hospital Pontian,Johor,120,57.49999999999999,0,,4,0
Hospital Segamat,Johor,306,77.77777777777779,8,62.5,31,35.483870967741936
Hospital Sultanah Bahiyah,Kedah,1084,82.3800738,24,83.33333333333334,81,44.44444444444444
Hospital Sultan Abdul Halim,Kedah,668,95.35928143712576,28,64.28571428571429,60,21.666666666666668
Hospital Jitra,Kedah,91,72.52747252747253,0,,0,
Hospital Kulim,Kedah,308,0,12,91.66666666666666,25,44
Hospital Sultanah Maliha,Kedah,154,85.71428571428571,9,33.33333333333333,14,21.428571428571427
Hospital Kuala Nerang,Kedah,80,66.25,0,,0,
Hospital Sik,Kedah,93,65.59139784946237,0,,0,
Hospital Yan,Kedah,89,52.80898876404494,0,,0,
Hospital Pendang,Kedah,118,108.47457627118644,8,0,6,66.66666666666666
Hospital Gua Musang,Kelantan,106,0,4,25,0,
Hospital Jeli,Kelantan,80,72.5,0,,0,
Hospital Raja Perempuan Zainab II,Kelantan,917,0,48,79.16666666666666,79,45.56962025316456
Hospital Pasir Mas,Kelantan,120,90,0,,0,
Hospital Tengku Anis,Kelantan,90,68.88888888888889,0,,0,
Hospital Tanah Merah,Kelantan,197,78.68020304568529,12,91.66666666666666,24,41.66666666666667
Hospital Tumpat,Kelantan,119,57.14285714285714,0,,0,
Hospital Alor Gajah,Melaka,100,96,6,50,12,16.666666666666664
Hospital Jasin,Melaka,97,77.31958762886599,6,33.33333333333333,16,6.25
Hospital Melaka,Melaka,1072,86.19402985074626,46,73.91304347826086,95,54.736842105263165
Hospital Tuanku Ampuan Najihah,Negeri Sembilan,299,80.60200668896321,15,0,27,0
Hospital Rembau,Negeri Sembilan,76,100,0,,2,0
Hospital Tuanku Ja'afar,Negeri Sembilan,1117,71.35183527305283,26,111.53846153846155,158,0
Hospital Tampin,Negeri Sembilan,92,69.56521739130434,16,6.25,12,41.66666666666667
Hospital Bera,Pahang,40,85,0,,0,
Hospital Sultanah Hajjah Kalsom,Pahang,40,75,0,,1,0
Hospital Jerantut,Pahang,77,55.84415584415584,0,,0,
Hospital Tengku Ampuan Afzan,Pahang,798,74.18546365914787,31,83.87096774193549,62,53.22580645
Hospital Kuala Lipis,Pahang,162,100,6,0,16,0
Hospital Jengka,Pahang,70,77.14285714285715,0,,0,
Hospital Pekan,Pahang,106,75.47169811320755,4,75,7,42.857142857142854
Hospital Muadzam Shah,Pahang,49,55.10204081632652,0,,0,
Hospital Sungai Bakap,Pulau Pinang,105,78.0952381,0,,2,0
Hospital Bukit Mertajam,Pulau Pinang,235,74.46808510638297,7,0,26,0
Hospital Pulau Pinang,Pulau Pinang,1137,0,26,100,74,45.94594594594595
Hospital Slim River,Perak,157,66.24203822,18,0,12,0
Hospital Teluk Intan,Perak,532,58.64661654135338,16,37.5,39,35.8974359
Hospital Gerik,Perak,75,48,0,,0,
Hospital Parit Buntar,Perak,100,64,0,,0,
Hospital  Raja Permaisuri Bainun,Perak,1064,79.04135338345864,33,78.78787878787878,70,77.14285714285715
Hospital Batu Gajah,Perak,148,50,0,,0,
Hospital Kuala Kangsar,Perak,136,69.11764705882352,0,,0,
Hospital Sungai Siput,Perak,72,59.72222222222222,0,,0,
Hospital Selama,Perak,72,44.44444444444444,0,,0,
Hospital Taiping,Perak,617,82.82009724473258,25,80,45,82.22222222222221
Hospital Seri Manjung,Perak,297,110.77441077441077,8,50,19,42.10526315789473
Hospital Changkat Melintang,Perak,50,46,0,,0,
Hospital Kampar,Perak,73,58.90410959,0,,0,
Hospital Tuanku Fauziah,Perlis,491,96.13034623217924,21,66.66666666666666,28,53.57142857142857
Hospital Selayang,Selangor,1018,0,29,65.51724137931035,97,16.49484536082474
Hospital Sungai Buloh,Selangor,626,85.94249201277955,42,80.95238095238095,121,31.40495867768595
Pusat Kawalan Kusta Negara,Selangor,106,87.73584905660378,0,,0,
Hospital Kajang,Selangor,378,77.77777777777779,8,162.5,32,21.875
Hospital Ampang,Selangor,676,0,15,93.33333333333333,74,41.891891891891895
Hospital Shah Alam,Selangor,472,0,13,123.07692307692308,42,45.23809523809524
Hospital Dungun,Terengganu,100,89,0,,0,
Hospital Hulu Terengganu,Terengganu,105,66.66666666666666,0,,0,
Hospital Kemaman,Terengganu,158,97.46835443037975,6,66.66666666666666,18,16.666666666666664
Hospital Sultanah Nur Zahirah,Terengganu,1098,90.98360655737704,29,82.75862068965517,88,45.45454545454545
Hospital Setiu,Terengganu,76,86.84210526,0,,0,
Hospital Keningau,Sabah,203,96.05911330049261,21,119.04761904761905,20,30
Hospital Queen Elizabeth,Sabah,706,102.97450424929178,42,83.33333333333334,65,69.23076923076923
Hospital Wanita Dan Kanak-Kanak,Sabah,646,73.83900928792569,21,0,13,0
Hospital Queen Elizabeth II,Sabah,235,104.25531914893618,12,58.333333333333336,34,50
Hospital Kota Marudu,Sabah,97,70.10309278350515,0,,0,
Hospital Kuala Penyu,Sabah,48,64.58333333333334,0,,0,
Hospital Kunak,Sabah,48,39.58333333333333,0,,0,
Hospital Papar,Sabah,77,67.53246753246754,0,,0,
Hospital Semporna,Sabah,70,74.28571428571429,0,,0,
Hospital Sipitang,Sabah,93,35.483870967741936,0,,0,
Hospital Tambunan,Sabah,49,46.93877551020408,0,,0,
Hospital Tuaran,Sabah,82,103.65853658536585,0,,0,
Hospital Betong,Sarawak,48,60.416666666666664,0,,0,
Hospital Bintulu,Sarawak,329,72.94832826747721,10,50,35,11.428571428571429
Hospital Dalat,Sarawak,8,37.5,0,,0,
Hospital Daro,Sarawak,46,19.565217391304348,0,,2,0
Hospital Kapit,Sarawak,128,41.40625,6,50,11,9.090909090909092
Hospital Umum Sarawak,Sarawak,979,94.07558733,28,100,63,68.25396825396825
Hospital Sentosa,Sarawak,338,47.633136094674555,0,,0,
Hospital Lawas,Sarawak,46,52.17391304347826,0,,3,0
Hospital Limbang,Sarawak,-4,-1525,4,50,4,25
Hospital Lundu,Sarawak,46,32.608695652173914,0,,0,
Hospital Marudi,Sarawak,50,44,0,,0,
Hospital Miri,Sarawak,331,92.14501510574019,18,38.88888888888889,36,52.77777777777778
Pusat Jantung Sarawak,Sarawak,138,83.33333333333334,4,0,16,0
Hospital Saratok,Sarawak,80,20,0,,0,
Hospital Sarikei,Sarawak,198,69.19191919,14,28.57142857142857,19,21.052631578947366
Hospital Serian,Sarawak,84,59.523809523809526,0,,0,
Hospital Sibu,Sarawak,639,0,23,78.26086956521739,59,42.37288136
Hospital Simunjan,Sarawak,30,83.33333333333334,0,,0,
Hospital Sri Aman,Sarawak,146,66.43835616438356,4,0,4,50
Hospital Kuala Lumpur,W.P. Kuala Lumpur,1672,71.71052631578947,34,100,92,40.21739130434783
Institut Perubatan Respiratori,W.P. Kuala Lumpur,110,60,0,,0,
Hospital Tunku Azizah,W.P. Kuala Lumpur,596,107.21476510067114,4,25,12,0
Hospital Labuan,W.P. Labuan,115,0,7,42.857142857142854,46,0
Hospital Putrajaya,W.P. Putrajaya,533,61.350844277673545,19,0,37,0
Institut Kanser Negara,W.P. Putrajaya,234,0,4,50,8,12.5
Hospital Universiti Sains Malaysia,Kelantan,724,68.78453038674033,87,62.06896551724138,83,44.57831325301205
